,GEO.id,zip_code,GEO.display-label,total_population,percent_age_under_5,percent_age_5-9,percent_age_10-14,percent_age_15-19,percent_age_20-24,percent_age_25-34,percent_age_35-44,percent_age_45-54,percent_age_55-59,percent_age_60-64,percent_age_65-74,percent_age_75-84,percent_age85_and_over,percent_age_65_and_over,median_age
1,8600000US60002,60002,ZCTA5 60002,24250,5.7,7.2,6.4,7.9,4.7,9.9,14.2,17.3,8.1,6.5,8.2,2.8,1,12,41.2
2,8600000US60004,60004,ZCTA5 60004,49957,5.5,6.5,6,6.3,4.8,11.8,13.1,16.1,6.4,6.5,8.9,5.6,2.6,17.1,41.8
3,8600000US60005,60005,ZCTA5 60005,30931,7,5.1,7.3,6.1,4.4,13.5,14.9,14.8,4.9,5.9,7.5,5.2,3.4,16,39.8
4,8600000US60007,60007,ZCTA5 60007,33973,4.6,4.9,6.5,6.3,5.7,11.3,12.9,18.4,7.6,6.9,7.7,5.4,1.8,14.9,43.5
5,8600000US60008,60008,ZCTA5 60008,22302,8.1,6.2,5.2,6,5.8,16.6,13,14.9,6.4,4.9,6.2,4.5,2,12.8,36.2
6,8600000US60010,60010,ZCTA5 60010,44031,4.7,6.1,8.1,7.6,3.8,5.9,11.3,19.2,8.3,7.1,10.9,5.3,1.8,17.9,46.3
7,8600000US60012,60012,ZCTA5 60012,11081,3.4,5.9,10.4,9.3,5.1,5.2,12.5,21.5,9.4,6.7,5.9,3.3,1.3,10.6,43.6
8,8600000US60013,60013,ZCTA5 60013,26811,5.9,7.3,8,8.7,5.6,9.4,12.3,22.2,7.1,5.9,4.8,2.1,0.7,7.6,39.4
9,8600000US60014,60014,ZCTA5 60014,48234,6,7.1,8.1,9.1,5,11.6,14.4,16,6.6,5,6.4,2.9,1.8,11,37.4
10,8600000US60015,60015,ZCTA5 60015,27218,5.5,6.8,8.6,8.7,4.4,6.8,13.1,16.1,7.7,7.2,9.1,3.6,2.2,15,42.3
11,8600000US60016,60016,ZCTA5 60016,60794,6.2,6,4.6,5.3,5.5,16.5,13.5,13.7,7.5,6.3,7.5,5,2.3,14.8,39.4
12,8600000US60018,60018,ZCTA5 60018,28749,6.7,5.6,6.1,6.5,7.2,11.9,13,15,7.8,5.6,7.2,4.3,3.1,14.6,39.9
13,8600000US60020,60020,ZCTA5 60020,10391,7.1,5.6,4.3,5.1,5.1,16.5,13.8,15.6,6.7,4.7,7.9,6.1,1.5,15.4,39.1
14,8600000US60021,60021,ZCTA5 60021,5560,6.3,5.8,7.4,6.9,7.2,12.3,13.3,20,9.3,5,4.3,1.6,0.5,6.4,38.3
15,8600000US60022,60022,ZCTA5 60022,8327,6.7,11.1,9.6,7,2.4,3.1,13.7,16.6,7.9,7.1,7.8,4.9,2.1,14.8,42.8
16,8600000US60025,60025,ZCTA5 60025,38667,5.3,7.4,6.9,5.9,3.7,9.1,12.9,15.7,7.5,7.7,8.8,5.8,3.3,17.9,44.1
17,8600000US60026,60026,ZCTA5 60026,13869,5.3,6.9,6,6.3,4.8,8.9,11.3,16.3,6.7,6.2,9.6,6.2,5.5,21.3,45.3
18,8600000US60029,60029,ZCTA5 60029,435,7.4,12.6,8.7,5.3,3.7,3.9,15.2,19.3,5.1,2.3,11.3,3.7,1.6,16.6,42.2
19,8600000US60030,60030,ZCTA5 60030,35685,5.9,7.3,8,7.5,5,9.6,15,19.2,5.8,4.3,6.5,4.4,1.5,12.4,39.9
20,8600000US60031,60031,ZCTA5 60031,38205,4.9,7.6,9,8.9,5.5,9.9,15.3,18.5,6.7,5,4.7,2.9,1.1,8.7,38
21,8600000US60033,60033,ZCTA5 60033,13763,8.3,7.7,8.4,8.3,6.5,14.5,12.7,12.7,5.2,4.9,6.5,2.8,1.4,10.8,31.2
22,8600000US60034,60034,ZCTA5 60034,1826,3,3.9,5.8,6.3,6.5,8.1,12.3,19.8,8.3,7.7,10.1,5.3,2.8,18.2,47.6
23,8600000US60035,60035,ZCTA5 60035,29814,5.2,8.2,7.8,6.6,3.5,6.5,11.9,16.1,7.5,6.6,10.8,6.2,3.1,20.1,45.2
24,8600000US60040,60040,ZCTA5 60040,5439,8.3,4.8,8.2,5.2,8.3,11.3,15.2,12.1,5.9,3.6,7.4,5.8,3.8,17,37.1
25,8600000US60041,60041,ZCTA5 60041,8877,6.8,6,4.6,5.9,4.7,13.1,12.8,17.9,8.9,5.3,9.3,3.4,1.1,13.8,42.9
26,8600000US60042,60042,ZCTA5 60042,8630,7.2,7.3,7,9.2,3.9,15.3,13.2,17.8,7,4.4,4.4,3,0.4,7.8,35.1
27,8600000US60043,60043,ZCTA5 60043,2786,4.6,9.6,15,9.4,2.4,2.5,12.4,19.9,7.5,3.3,6.7,5.3,1.3,13.3,41.5
28,8600000US60044,60044,ZCTA5 60044,9867,4.1,5.7,7.4,7,6.4,10.5,12.4,17.4,7.7,5.8,8.1,5.3,2.1,15.5,42.3
29,8600000US60045,60045,ZCTA5 60045,20732,4,7.5,8.2,8.7,4.8,4.3,10.4,16.8,8.1,8.8,9.7,6,2.6,18.3,46.5
30,8600000US60046,60046,ZCTA5 60046,34534,6.8,8.2,8.6,7.4,4.5,11,14.6,17.6,6.9,5.4,5.3,2.1,1.5,8.8,37.6
31,8600000US60047,60047,ZCTA5 60047,42206,5.3,7.6,8.2,8.7,5.1,7,13.4,20.4,8.1,7.1,5.6,2.5,1.1,9.1,41.4
32,8600000US60048,60048,ZCTA5 60048,29480,5.1,6.4,9.2,7.2,4.4,7.3,11.2,20,7.4,7.4,7.8,4.1,2.6,14.5,44.5
33,8600000US60050,60050,ZCTA5 60050,32369,6.3,6.7,7.2,7,5.8,12.9,13.7,17.4,5.9,5.4,6,3.7,2.1,11.8,38.3
34,8600000US60051,60051,ZCTA5 60051,24664,5.4,6.2,6,7.9,7,11.6,13.7,17,6.6,7,7.5,3.2,0.9,11.5,39.9
35,8600000US60053,60053,ZCTA5 60053,23341,5.3,6.7,5.1,4.2,4.7,12.4,11.3,13.1,7.9,6.9,11.7,7.2,3.4,22.3,45.1
36,8600000US60056,60056,ZCTA5 60056,55611,6,6.8,6.5,5.7,5.2,13.8,14.4,15.4,6.3,5.2,7.6,5.4,1.7,14.7,39.3
37,8600000US60060,60060,ZCTA5 60060,37586,7.2,6.1,7.5,7.8,6.3,12.2,14.9,15.5,7.3,6.4,5.5,2.8,0.6,8.9,36.8
38,8600000US60061,60061,ZCTA5 60061,26029,6.4,7.7,7.7,6.5,5.1,11.6,16.3,17.7,6.4,5,5,2,2.9,9.8,37.9
39,8600000US60062,60062,ZCTA5 60062,40095,4.6,7.2,6.4,6.8,3.8,6,12.3,16.2,7.7,6.2,10.9,7.7,4.1,22.7,47.1
40,8600000US60064,60064,ZCTA5 60064,16297,10,9.1,7.5,8.2,8.8,16.3,11.5,11.7,5.4,3.8,4.4,2.8,0.5,7.7,29.3
41,8600000US60067,60067,ZCTA5 60067,38450,6.5,6.7,6,6.7,4,11.3,13.2,17.5,7.4,6.5,8.7,4.1,1.3,14.1,41.6
