,GEO.id,zip_code,GEO.display-label,poulation,percent_employed,inc_<10k,inc_10-15k,inc_15-25k,median_inc,mean_inc,percent_no_health,percent_public_health
1,8600000US60002,60002,ZCTA5 60002,19113,69.5,5.5,3.2,5.6,78250,88649,9.4,22.4
2,8600000US60004,60004,ZCTA5 60004,40169,68,2.5,1.8,6.5,79892,101669,8.7,22.6
3,8600000US60005,60005,ZCTA5 60005,24462,68.2,4.2,3,8.2,69484,91273,10.6,23.6
4,8600000US60007,60007,ZCTA5 60007,27999,70.2,3.5,2.1,9,67473,80940,8.7,22.1
5,8600000US60008,60008,ZCTA5 60008,17650,69.6,4.2,4.7,9.5,59172,73803,19.5,26.2
6,8600000US60010,60010,ZCTA5 60010,34751,62.5,2.5,1.3,4.1,120632,180313,4.3,21.7
7,8600000US60012,60012,ZCTA5 60012,8642,69.3,0.7,3.3,2.6,109962,127952,3.8,14.1
8,8600000US60013,60013,ZCTA5 60013,20702,75.2,2.9,1.2,5.6,97828,108492,8.6,14.3
9,8600000US60014,60014,ZCTA5 60014,37131,72.3,3,2.4,6.4,81031,95828,8.9,20.3
10,8600000US60015,60015,ZCTA5 60015,21056,67.3,0.9,1.9,4.2,128676,171142,4.5,16.7
11,8600000US60016,60016,ZCTA5 60016,50074,66.9,4.2,4.1,8.8,59533,72060,16.1,26.5
12,8600000US60018,60018,ZCTA5 60018,23053,68.4,3.3,4.7,9.9,54688,69102,19.1,29.3
13,8600000US60020,60020,ZCTA5 60020,8544,69.7,7.5,4.7,9.8,59175,68785,10.6,32.7
14,8600000US60021,60021,ZCTA5 60021,4297,78.8,5.3,1.5,6.6,81034,97590,10.2,19.9
15,8600000US60022,60022,ZCTA5 60022,5909,60,4.5,1.4,1.7,162460,273279,0.5,14.1
16,8600000US60025,60025,ZCTA5 60025,30600,64.1,3.6,2.4,6,83914,121468,8.9,24
17,8600000US60026,60026,ZCTA5 60026,11170,59.7,4.2,1.3,8.1,90106,146960,8.7,24.5
18,8600000US60029,60029,ZCTA5 60029,303,67.3,0.8,1.6,4.8,165000,173113,1.6,17.9
